Species,ID,Geno.pheno,Date.1,SVL.1.mm,Mass.1.g,SVL.2.mm,Mass.2.g,Day.difference,Dead(Y/N),Growth.rate(SVL),Growth.rate(mass)
Pogona,5151,ZWf,23/2/21,51,4.8615,97,31,149,Alive,0.308724832,0.175426174
Pogona,2330,ZWf,20/1/21,43,2.3715,52,3.973,69,Alive,0.130434783,0.177944444
Pogona,3110,ZWf,24/2/21,63,7.385,66,7.928,16,Alive,0.1875,0.181
Pogona,1230,ZWf,19/1/21,44,2.7895,57,5.251,66,Alive,0.196969697,0.189346154
Pogona,2100,ZZm,2/1/21,43,2.546,55,4.831,69,Alive,0.173913043,0.190416667
Pogona,1112,ZWf,8/12/20,44,2.8275,115,46,226,Alive,0.314159292,0.191028761
Pogona,5332,ZWf,23/2/21,50,4.175,101,33,149,Alive,0.342281879,0.193456376
Pogona,3210,ZZf,30/1/21,41,2.318,48,3.708,74,Alive,0.094594595,0.198571429
Pogona,152,ZZf,4/12/20,42,2.504,48,3.723,66,Alive,0.090909091,0.203166667
Pogona,2353,ZZm,11/1/21,45,2.9655,63,6.654,67,Alive,0.268656716,0.204916667
Pogona,2015,ZZm,20/1/21,44,2.694,52,4.406,69,Alive,0.115942029,0.214
Pogona,4053,ZWf,8/12/20,45,2.679,58,5.546,76,Alive,0.171052632,0.220538462
Pogona,4200,ZZm,28/1/21,44,2.8815,63,7.079,76,Alive,0.25,0.220921053
Pogona,5452,ZZf,30/1/21,50,3.6365,107,42,173,Alive,0.329479769,0.221754335
Pogona,4211,ZWf,6/12/20,45,2.909,58,5.84,64,Alive,0.203125,0.225461538
Pogona,5521,ZZf,10/1/21,42,1.965,65,7.287,61,Alive,0.37704918,0.231391304
Pogona,1530,ZZm,23/2/21,50,4.143,100,39,149,Alive,0.33557047,0.233939597
Pogona,4230,ZZm,19/1/21,46,3.169,64,7.386,66,Alive,0.272727273,0.234277778
Pogona,5522,ZZm,2/1/21,42,2.442,53,5.068,69,Alive,0.15942029,0.238727273
Pogona,3120,ZWf,8/12/20,42,2.5,121,57,226,Alive,0.349557522,0.241150442
Pogona,2412,ZZf,23/2/21,48,3.0905,51,3.815,50,Alive,0.06,0.2415
Pogona,21,ZZf,6/12/20,44,2.598,51,4.34,64,Alive,0.109375,0.248857143
Pogona,3512,ZZf,2/1/21,44,2.702,64,7.824,69,Alive,0.289855072,0.2561
Pogona,5253,ZWf,19/1/21,45,2.8595,60,6.708,66,Alive,0.227272727,0.256566667
Pogona,2031,ZWf,11/1/21,45,2.893,62,7.338,67,Alive,0.253731343,0.261470588
Pogona,135,ZZf,4/12/20,44,2.645,62,7.397,66,Alive,0.272727273,0.264
Pogona,4501,ZZm,16/12/20,44,2.8415,123,62,218,Alive,0.362385321,0.271369266
Pogona,2332,ZZm,6/12/20,43,2.3775,63,7.825,71,Alive,0.281690141,0.272375
Pogona,4135,ZZm,8/12/20,45,2.7345,53,4.918,76,Alive,0.105263158,0.2729375
Pogona,413,ZZm,28/1/21,45,2.545,65,8.032,46,Alive,0.434782609,0.27435
Pogona,5552,ZWf,8/12/20,46,3.044,62,7.462,76,Alive,0.210526316,0.276125
Pogona,4032,ZZm,10/1/21,47,2.7,66,7.966,61,Alive,0.31147541,0.277157895
Pogona,553,ZZf,17/12/20,44,2.567,63,7.884,75,Alive,0.253333333,0.279842105
Pogona,4453,ZZm,4/12/20,43,2.6925,51,4.946,66,Alive,0.121212121,0.2816875
Pogona,4013,ZZm,11/1/21,45,2.575,62,7.377,67,Alive,0.253731343,0.282470588
Pogona,5555,ZZf,6/12/20,43,2.3085,57,6.321,64,Alive,0.21875,0.286607143
Pogona,2011,ZZm,11/1/21,46,3.0495,58,6.498,74,Alive,0.162162162,0.287375
Pogona,412,ZZm,10/1/21,48,3.2585,71,10.093,64,Alive,0.359375,0.297152174
Pogona,2003,ZZm,30/1/21,49,4.0265,68,9.681,59,Alive,0.322033898,0.297605263
Pogona,4353,ZZf,4/12/20,41,2.476,63,9.2,66,Alive,0.333333333,0.305636364
Pogona,2323,ZWf,4/12/20,43,2.718,63,8.849,66,Alive,0.303030303,0.30655
Pogona,3432,ZZf,16/12/20,46,2.771,58,6.831,68,Alive,0.176470588,0.338333333
Pogona,1210,ZZm,16/12/20,45,2.754,66,10.086,68,Alive,0.308823529,0.349142857
Pogona,3350,ZWf,10/1/21,47,2.8515,71,11.295,64,Alive,0.375,0.3518125
Pogona,3013,ZZm,24/2/21,55,5.622,59,7.033,16,Alive,0.25,0.35275
Pogona,1221,ZZm,19/1/21,47,2.891,73,12.7,66,Alive,0.393939394,0.377269231
Pogona,5530,ZWf,11/1/21,45,3.0045,74,14.112,67,Alive,0.432835821,0.383017241
Pogona,4153,ZZm,11/1/21,46,3.5195,72,13.84,67,Alive,0.388059701,0.396942308
